COUNTY DEM GRN OTH REP
GLASSCOCK 39 3 1 528
GOLIAD 1233 27 24 2108
GONZALES 1877 72 28 4092
GRAY 1376 40 37 6732
GRAYSON 13647 484 213 25596
GREGG 11244 324 126 26739
GRIMES 2450 98 57 4197
GUADALUPE 8311 545 212 21499
HALE 2158 45 39 6868
HALL 472 6 2 966
HAMILTON 878 27 24 2447
HANSFORD 198 12 4 1874
HARDEMAN 566 10 5 976
HARDIN 5595 185 94 11962
HARRIS 418267 22994 4402 529159
HARRISON 8878 164 94 13834
HARTLEY 359 16 11 1645
HASKELL 1401 23 15 1488
HAYS 11387 2451 309 20170
HEMPHILL 251 13 7 1203
HENDERSON 8704 201 115 16607
HIDALGO 61390 968 391 38301
HILL 3524 100 57 7054
HOCKLEY 1419 41 35 5250
HOOD 4704 239 133 12429
HOPKINS 3692 82 60 7076
HOUSTON 2833 51 44 5308
HOWARD 2744 75 61 6668
HUDSPETH 380 15 13 514
HUNT 7857 283 149 16177
HUTCHINSON 1796 59 53 7443
IRION 162 2 5 624
JACK 822 26 19 2107
JACKSON 1446 33 12 3365
JASPER 4533 87 51 7071
"JEFF DAVIS" 283 46 23 708
JEFFERSON 45409 796 384 40320
"JIM HOGG" 1512 9 13 623
"JIM WELLS" 7418 73 34 4498
JOHNSON 11778 513 233 26202
JONES 1899 50 19 4080
KARNES 1617 25 28 2638
KAUFMAN 7455 207 111 15290
KENDALL 1901 286 98 8788
KENEDY 119 2 1 106
KENT 185 0 5 346
KERR 4002 463 126 14637
KIMBLE 328 15 10 1313
KING 14 0 3 120
KINNEY 486 16 10 932
KLEBERG 4481 131 56 4526
KNOX 617 8 4 947
"LA SALLE" 1266 5 12 731
LAMAR 5553 99 3 9775
LAMB 1114 15 18 3451
LAMPASAS 1569 78 41 4526
LAVACA 2171 53 34 5288
LEE 1733 76 28 3699
LEON 1893 46 25 4362
LIBERTY 7311 199 109 12458
LIMESTONE 2768 57 38 4212
LIPSCOMB 206 9 7 1072
"LIVE OAK" 1114 35 27 2828
LLANO 2143 142 47 6295
LOVING 29 1 2 124
LUBBOCK 18469 1042 443 56054
LYNN 562 7 8 1507
MADISON 1241 27 22 2333
MARION 1852 31 8 2039
MARTIN 415 6 8 1520
MASON 417 18 14 1352
MATAGORDA 4696 141 38 7584
MAVERICK 5995 53 38 3143
MCCULLOCH 794 29 13 2084
MCLENNAN 23462 1032 340 43955
MCMULLEN 77 4 0 358
MEDINA 4025 171 87 8590
MENARD 334 9 5 642
MIDLAND 7534 475 217 31514
MILAM 3429 84 50 4706
MILLS 548 14 14 1738
MITCHELL 837 20 9 1708
MONTAGUE 2256 66 57 4951
MONTGOMERY 23286 1825 502 80600
MOORE 1040 24 25 4201
MORRIS 2455 31 22 2381
MOTLEY 118 5 5 514
"NACOGDOCHES" 6204 387 63 13145
"NAVARRO" 5366 105 61 8358
NEWTON 2503 38 26 2423
NOLAN 1874 60 41 3337
NUECES 45349 1574 497 49906
OCHILTREE 251 19 5 2687
OLDHAM 108 6 1 659
ORANGE 11887 290 152 17325
"PALO PINTO" 3263 86 79 5690
PANOLA 3011 50 38 5975
PARKER 8878 485 211 23651
PARMER 447 15 8 2274
PECOS 1539 44 20 2700
POLK 6877 259 112 11746
POTTER 7242 362 143 17629
PRESIDIO 1064 65 10 618
RAINS 1225 34 25 2049
RANDALL 7209 448 212 33921
REAGAN 282 6 8 959
REAL 316 16 12 1146
"RED RIVER" 2219 19 23 2941
REEVES 1872 22 9 1273
REFUGIO 1172 22 6 1721
ROBERTS 72 3 2 472
ROBERTSON 3283 41 38 3007
ROCKWALL 3642 231 113 13666
RUNNELS 969 31 26 3020
RUSK 4841 112 69 11611
SABINE 1753 40 34 2764
"SAN AUGUSTINE" 1636 34 19 2116
"SAN JACINTO" 2946 103 42 4623
"SAN PATRICIO" 7840 179 81 10599
"SAN SABA" 618 12 12 1691
SCHLEICHER 338 4 5 826
SCURRY 1193 45 28 4060
SHACKELFORD 264 9 8 1066
SHELBY 3227 55 31 5692
SHERMAN 144 11 10 998
SMITH 16470 548 286 43320
SOMERVELL 752 37 9 2120
STARR 6505 19 29 1911
STEPHENS 811 32 23 2425
STERLING 132 3 4 520
STONEWALL 294 7 2 496
SUTTON 468 6 3 1063
SWISHER 856 20 13 1612
TARRANT 173758 8808 2902 286921
TAYLOR 10504 589 226 31701
TERRELL 219 7 8 243
TERRY 1108 18 18 2910
THROCKMORTON 228 4 2 608
TITUS 3008 65 35 4995
"TOM GREEN" 9288 454 151 24733
TRAVIS 125526 31243 3259 141235
TRINITY 2142 40 22 3093
TYLER 2775 65 40 4236
UPSHUR 4180 116 64 8448
UPTON 266 11 14 982
UVALDE 3436 36 93 4855
"VAL VERDE" 5056 129 66 6223
"VAN ZANDT" 5245 141 122 12383
VICTORIA 8176 215 230 18787
WALKER 4943 274 81 9076
WALLER 5046 95 31 5686
WARD 1256 58 26 2534
WASHINGTON 2996 133 35 8645
WEBB 18120 256 119 13076
WHARTON 4838 103 30 8455
WHEELER 579 15 8 1787
WICHITA 14108 518 285 27802
WILBARGER 1356 43 40 3138
WILLACY 3218 24 31 1789
WILLIAMSON 26591 3486 817 65041
WILSON 3997 130 62 7509
WINKLER 556 5 14 1468
WISE 4830 185 119 11234
WOOD 3893 128 53 9810
YOAKUM 531 10 13 1911
YOUNG 1843 46 43 5022
ZAPATA 1638 11 14 953
ZAVALA 2616 14 10 751
